,OBJECTID,Shape,source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,comments,event_import_source,event_import_id,latitude,longitude,country_name,country_code,admin_division_name,gazetteer_closest_point,gazetteer_distance,submitted_date,last_edited_date
30,10756237,"(88.31430000000006, 26.857200000000034)",One India,https://www.oneindia.com/2009/07/23/darjeelingtoy-trainsuspended.html,1054,2009-07-22 00:00:00,,"Gayabari,  West Bengal ","The disruption of popular toy train services in Darjeeling disappointed the tourists as the rail track was damaged by the landslides in the region. The track has been washed away at Gayabari, Kerseong and Darjeeling due to heavy incessant rainfall and landslides from the hills.","Gayabari,  West Bengal ",10km,landslide,downpour,medium,unknown,0.0,,,,,GLC,1054,26.8572,88.3143,India,IN,West Bengal,Kurseong,4.6,2014-04-01 00:00:00,2023-03-25 06:36:00
37,10756244,"(88.27880000000005, 26.882600000000025)",One India,https://www.oneindia.com/2009/07/23/darjeelingtoy-trainsuspended.html,1055,2009-07-22 00:00:00,,"Kerseong, West Bengal ","The disruption of popular toy train services in Darjeeling disappointed the tourists as the rail track was damaged by the landslides in the region. The track has been washed away at Gayabari, Kerseong and Darjeeling due to heavy incessant rainfall and landslides from the hills.","Kerseong, West Bengal ",10km,landslide,downpour,medium,unknown,0.0,,,,,GLC,1055,26.8826,88.2788,India,IN,West Bengal,Kurseong,0.16,2014-04-01 00:00:00,2023-03-25 06:36:00
40,10756247,"(88.52700000000004, 27.478000000000065)",Telegraph India,https://www.telegraphindia.com/1090707/jsp/siliguri/story_11202557.jsp,1061,2009-07-01 05:40:00,06:00,Bridge destroyed at 4th Mile,Landslides triggered by heavy rains hit an iron bridge on the North Sikkim Highway over Bar Khola at 4th Mile at around 5:40 am.,"4th Mile, Lower Mangshila in North Sikkim",1km,landslide,downpour,medium,unknown,0.0,,,,"Original source is unknown, but it appears to have given the time.",GLC,1061,27.478,88.527,India,IN,Sikkim,Mangan,3.98,2014-04-01 00:00:00,2023-03-25 06:36:00
54,10756261,"(94.48214677200008, 25.30986329600006)",E-Pao,http://www.e-pao.net/GP.asp?src=28..210810.aug10,2164,2010-07-29 23:00:00,23:00,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur","Since the Chingai-Quingai road has been sunk due to landslides at various points following heavy rainfall that occured twice during the past 20 days, nearly 5,000 villagers of five villages in the sub-division are facing the alarming possibility of starvation.  The road from Chingai to Quingai in Chingai sub-division of Ukhrul district connects Quingai, Chalou, New Tasom, Tasom CV and Tasom Khullen villages.  However, the road has been disconnected in various places due to heavy rainfall that occurred on the night between July 29 and 30 and again on the night of August 15 .  According to Secretary, Information and Publicity, Northern Raphei Students' Union (NRSU), HAS Thuingaleng, nearly 5,000 villagers of the said villages have been facing extreme hardship.  The wooden bridge over Rondei river had been washed away by the powerful current of the river disconnecting the road.  Moreover, landslides have occurred completely blocking the road at different places.  However, due to the heavy","Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",25km,landslide,downpour,medium,unknown,0.0,,,,,GLC,2164,25.3098633,94.48214677,India,IN,Manipur,Somra,29.17,2014-04-01 00:00:00,2023-03-25 06:36:00
61,10756268,"(78.79630000000003, 30.76660000000004)",IBN,http://ibnlive.in.com/generalnewsfeed/news/yatra-to-kedarnath-gangotri-yamunotri-resumes/745000.html,3669,2011-06-29 00:00:00,,"National Highway leading to Gangotri, from Dehradun","Jul 1 (PTI) National highways leading to Kedarnath, Gangotri and Yamunotri, which were blocked due to landslides following heavy rains, were reopened today for traffic to resume the yatra, official sources said.The national highways leading to Kedarnath, Gangotri and Yamunotri were reopened for traffic after the Border Road Organisation (BRO) and police personnel cleared the debris, they said.However, traffic on Almora-Pithoragarh road could not be resumed as landslides continued to hit the area. Pauri- Safdarkhal road has also been blocked at Khundadhar area due to landslides.The landslides triggered by heavy rains for the past couple of days in most parts of Uttarakhand had blocked several roads in the state and forced the government to issue an alert.Uttarakhand Chief Minister Ramesh Pokhriyal Nishank has directed the district magistrates of all the 13 districts to remain on alert.A total of 10 people have so far been killed in the state in various rains-related incidents for the pa","National Highway leading to Gangotri, from Dehradun",50km,landslide,downpour,medium,unknown,0.0,,,,,GLC,3669,30.7666,78.7963,India,IN,Uttaranchal,Bhatgaon,25.29,2014-04-01 00:00:00,2023-03-25 06:36:00
65,10756272,"(78.59250000000003, 30.76520000000005)",ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/chardham-yatra-suspended-due-to-rains/752982.html,3750,2011-07-09 00:00:00,,Gangotri,"Dehra Dun, Jul 9 (PTI) The 'Chardham' yatra in Garhwal Himalayas was temporarily suspended today due to inclement weather and landslides triggered by incessant rains along the yatra route.Landslides struck a number of places leading to the four shrines of Badrinath, Kedarnath, Gangotri and Yamunotri, forcing the administration to halt the pilgrimage, official sources said, adding hundreds of pilgrims were stranded in the area.The pilgrimage to the revered shrine of Badrinath was suspended by the administration after landslides occurred near Lambagad this morning.Rishikesh-Gangotri highway was also affected by landslides at Gangnani blocking movement of traffic, they said.Efforts are on to remove the debris from the roads and personnel of Border Road Organisation (BRO) have been deployed to clear them and open for vehicular traffic.The Uttarakhand government has issued an alert following heavy rains in the state for the past four days that left 10 people, including two women, dead and t",Gangotri,50km,landslide,downpour,medium,unknown,0.0,,,,,GLC,3750,30.7652,78.5925,India,IN,Uttaranchal,Uttarkashi,15.03,2014-04-01 00:00:00,2023-03-25 06:36:00
66,10756273,"(79.06850000000009, 30.733100000000036)",ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/chardham-yatra-suspended-due-to-rains/752982.html,3751,2011-07-09 00:00:00,,Kedarnath,"Dehra Dun, Jul 9 (PTI) The 'Chardham' yatra in Garhwal Himalayas was temporarily suspended today due to inclement weather and landslides triggered by incessant rains along the yatra route.Landslides struck a number of places leading to the four shrines of Badrinath, Kedarnath, Gangotri and Yamunotri, forcing the administration to halt the pilgrimage, official sources said, adding hundreds of pilgrims were stranded in the area.The pilgrimage to the revered shrine of Badrinath was suspended by the administration after landslides occurred near Lambagad this morning.Rishikesh-Gangotri highway was also affected by landslides at Gangnani blocking movement of traffic, they said.Efforts are on to remove the debris from the roads and personnel of Border Road Organisation (BRO) have been deployed to clear them and open for vehicular traffic.The Uttarakhand government has issued an alert following heavy rains in the state for the past four days that left 10 people, including two women, dead and t",Kedarnath,25km,landslide,downpour,medium,unknown,0.0,,,,,GLC,3751,30.7331,79.0685,India,IN,Uttaranchal,Gaundar,16.94,2014-04-01 00:00:00,2023-03-25 06:36:00
67,10756274,"(78.41290000000004, 31.018800000000056)",ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/chardham-yatra-suspended-due-to-rains/752982.html,3752,2011-07-09 00:00:00,,Yamunotri,"Dehra Dun, Jul 9 (PTI) The 'Chardham' yatra in Garhwal Himalayas was temporarily suspended today due to inclement weather and landslides triggered by incessant rains along the yatra route.Landslides struck a number of places leading to the four shrines of Badrinath, Kedarnath, Gangotri and Yamunotri, forcing the administration to halt the pilgrimage, official sources said, adding hundreds of pilgrims were stranded in the area.The pilgrimage to the revered shrine of Badrinath was suspended by the administration after landslides occurred near Lambagad this morning.Rishikesh-Gangotri highway was also affected by landslides at Gangnani blocking movement of traffic, they said.Efforts are on to remove the debris from the roads and personnel of Border Road Organisation (BRO) have been deployed to clear them and open for vehicular traffic.The Uttarakhand government has issued an alert following heavy rains in the state for the past four days that left 10 people, including two women, dead and t",Yamunotri,25km,landslide,downpour,medium,unknown,0.0,,,,,GLC,3752,31.0188,78.4129,India,IN,Uttaranchal,Phetari,21.42,2014-04-01 00:00:00,2023-03-25 06:36:00
68,10756275,"(79.63670000000008, 29.733400000000074)",ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/two-killed-as-heavy-rains-lash-uttarakhand/759890.html,3821,2011-07-21 00:00:00,,"Kumaon, Uttarakhand","Dehradun, July 21 (PTI) Two persons were killed and five injured in Uttarakhand, where incessant rains triggered landslides in Garhwal and Kumaon region, blocking several routes and disrupted normal life.Scores of pilgrims were stranded as the debris from landslides was lying on the routes to 'Chardham'-- Yamunotri, Gangotri, Kedarnath and Badrinath, officials said.One person was killed and another injured when the roof of a bus stand collapsed after overnight heavy rains in Chamoli district.In Almora, a jeep skidded off the road and fell into a gorge leaving one person dead and four others injured, they said.In several places, mud house collapsed and crops were were damaged. 16 people have died and 70 have been injured in rain related incidents during this monsoon season.","Kumaon, Uttarakhand",25km,landslide,rain,medium,unknown,1.0,,,,,GLC,3821,29.7334,79.6367,India,IN,Uttaranchal,Almora,14.54,2014-04-01 00:00:00,2023-03-25 06:36:00
71,10756278,"(79.33180000000004, 30.404300000000035)",ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/two-killed-as-heavy-rains-lash-uttarakhand/759890.html,3819,2011-07-21 00:00:00,,"Chamoli , Uttarakhand","Dehradun, July 21 (PTI) Two persons were killed and five injured in Uttarakhand, where incessant rains triggered landslides in Garhwal and Kumaon region, blocking several routes and disrupted normal life.Scores of pilgrims were stranded as the debris from landslides was lying on the routes to 'Chardham'-- Yamunotri, Gangotri, Kedarnath and Badrinath, officials said.One person was killed and another injured when the roof of a bus stand collapsed after overnight heavy rains in Chamoli district.In Almora, a jeep skidded off the road and fell into a gorge leaving one person dead and four others injured, they said.In several places, mud house collapsed and crops were were damaged. 16 people have died and 70 have been injured in rain related incidents during this monsoon season.","Chamoli , Uttarakhand",25km,landslide,rain,medium,unknown,1.0,,,,,GLC,3819,30.4043,79.3318,India,IN,Uttaranchal,Langsu,12.63,2014-04-01 00:00:00,2023-03-25 06:36:00
